gene,tda_importance,tda_rank,euclidean_t,euclidean_p,euclidean_rank
FAM69C,0.5211629,228,-2.8453383,0.00500473,13324
GRK7,0.5207126,229,1.0480759,0.2968142,17535
ABCG8,0.52012455,230,-3.6043193,0.00050149264,11886
SP4,0.51996773,231,-4.949397,2.9816324e-06,9571
ROGDI,0.51877576,232,18.64312,0.0,489
CLEC2L,0.5186091,233,-3.849784,0.00018209787,11331
ENTPD7,0.51853997,234,11.961301,3.8834133e-22,2779
GHRH,0.5182277,235,1.8325722,0.068949975,15529
CARD6,0.5180324,236,-15.213957,2.0705191e-30,1468
LOC339535,0.5178311,237,-1.6984175,0.09221325,15927
TM9SF2,0.5175709,238,3.8367171,0.00017835692,11320
AVPR1B,0.5175555,239,0.74051577,0.46053082,18447
LOC100506083,0.5175184,240,-10.4767475,6.364633e-19,3534
KCNK3,0.5173749,241,-8.591177,8.715494e-15,4805
FTH1P3,0.5167117,242,0.0044259913,0.99647593,20843
H1F0,0.5166451,243,7.60784,2.7815293e-12,5787
SLFN5,0.5160922,244,-8.843012,5.671191e-15,4736
LOC100506241,0.51591194,245,-1.9537661,0.053552374,15276
LOC100507424,0.5155816,246,-3.9227874,0.00015421306,11242
SNORD63,0.5149834,247,-0.31225422,0.7554627,19868
ILDR1,0.51495934,248,9.749061,1.9171345e-17,3928
IL1R2,0.51431376,249,-2.110165,0.036551278,14885
AP1B1P1,0.51425934,250,-2.0077744,0.047265463,15151
MIR548Q,0.51371634,251,-1.0593177,0.29212102,17507
BRD8,0.5117838,252,-0.8764182,0.38259044,18020
BSPH1,0.51155335,253,-0.3865606,0.699926,19621
MIR572,0.5115371,254,0.2397215,0.81098145,20099
PTGDS,0.5109111,255,-13.985125,1.1647356e-28,1676
SNORD95,0.5100088,256,2.3445506,0.02082301,14358
CASS4,0.50954944,257,-3.0061123,0.0032481153,13025
PRKACA,0.508998,258,-2.4553607,0.0154657755,14129
GLDN,0.5086832,259,-10.703707,1.8371533e-18,3662
PELI1,0.50867826,260,-13.901994,1.1670916e-27,1803
C17orf51,0.5077165,261,-16.994892,4.981892e-36,984
PIM2,0.50769675,262,4.0254164,0.00010706627,11062
FLJ37035,0.5067412,263,-2.6743267,0.0085578235,13715
SPDYE7P,0.5049137,264,1.6565185,0.1004051,16008
SNORD116-4,0.50489545,265,-7.9304495,1.3375503e-12,5654
MKKS,0.5048591,266,-3.1796737,0.0017630794,12629
C20orf173,0.5048492,267,-1.469188,0.14488213,16451
C20orf160,0.5048455,268,-15.71431,2.1176153e-30,1469
MYO3B,0.50459665,269,8.929244,5.532844e-18,3794
FOXL1,0.5042312,270,0.8728037,0.3843404,18035
ENTPD4,0.50296307,271,2.156284,0.0329301,14781
LOC286114,0.5021234,272,-0.62513685,0.5333596,18838
ZNF557,0.5009615,273,-0.32905236,0.742759,19815
MARCKSL1,0.50094,274,9.769045,3.7681603e-16,4341
MIR638,0.50054276,275,1.2666582,0.20787002,16954
LOC285796,0.500324,276,-8.0042305,1.2463977e-12,5635
TAAR3,0.5001972,277,-1.3997105,0.16423965,16603
GOLGA5,0.49972433,278,6.0794816,9.379532e-09,7682
CDH19,0.4983023,279,-6.7724366,4.544373e-10,6898
LOC100652730,0.49818218,280,9.925617,7.1993314e-22,2851
CHTF18,0.49765974,281,11.735895,1.686156e-21,2923
LOC100507254,0.49670184,282,-5.699869,1.2823253e-07,8467
SNORA81,0.49622145,283,-2.3161874,0.022449363,14416
