gene,tda_importance,tda_rank,euclidean_t,euclidean_p,euclidean_rank
SNTN,224.05096,240,14.623663,2.75271e-40,1045
PTPN14,223.42032,241,-21.404936,0.0,616
SSBP2,222.85556,242,-9.668472,7.438056e-17,5031
QTRT1,221.74207,243,2.8723016,0.004706127,13510
SNRPD3,221.17586,244,9.074232,2.4262465e-15,5502
MS4A1,220.97404,245,2.3479602,0.02049032,14620
DIDO1,220.83826,246,-0.34079072,0.7338034,19813
PGBD3,220.61417,247,-3.864679,0.00018497062,11836
FAM9B,220.35956,248,0.99033415,0.32359353,17835
UCP1,220.0406,249,-6.024827,1.759354e-08,8676
MRPL45,219.88345,250,-4.947548,1.6433547e-06,10004
CAPRIN2,219.73027,251,-8.312173,1.798633e-13,6236
PRR15,219.44357,252,11.150078,4.206499e-21,3841
ITGA2,219.00964,253,-3.100679,0.002469285,13120
MMP17,218.84998,254,4.6654606,7.2966477e-06,10513
PALM3,218.79477,255,-0.16885802,0.86620015,20382
XRN2,218.10089,256,2.1235356,0.03544852,15077
PPP2R5B,218.04788,257,-6.7211127,5.2132004e-10,7794
DHX35,216.98878,258,-0.85297287,0.39531243,18265
CLDND1,216.22818,259,-10.367516,8.2567494e-19,4458
PPP1R13B,216.2273,260,-1.5825292,0.11631594,16286
NARS2,215.51941,261,3.9885604,9.193308e-05,11506
RAB26,215.26541,262,21.02587,0.0,657
SFPQ,213.54907,263,10.023893,2.0090285e-17,4850
HNRNPUL1,213.51773,264,2.3480916,0.020174414,14600
PCSK4,212.52386,265,7.979239,5.621261e-13,6453
SNX31,212.47354,266,-5.156694,1.1285687e-06,9865
ESR1,211.36508,267,13.548246,6.4653034e-34,1613
CAPZA2,211.15298,268,-4.7585554,5.8216688e-06,10437
NIPA1,211.10587,269,9.304361,2.39087e-17,4871
C20orf4,210.82965,270,3.7804847,0.00019155847,11860
RNF2,210.72285,271,9.462481,3.1741785e-17,4914
NEDD9,210.64899,272,-15.99994,2.2678356e-32,1802
LMF2,210.29468,273,-0.33305204,0.73959607,19844
IRGM,210.13414,274,-0.55004734,0.58343965,19146
ANP32B,209.923,275,-0.046490878,0.96298254,20719
NDUFA12,208.48503,276,5.2003736,7.1029655e-07,9745
SEC14L1,208.43562,277,-15.400835,6.2044495e-30,2123
ICK,208.05072,278,-5.5341344,1.9342409e-07,9361
FAM19A2,207.61209,279,-9.095004,2.4942976e-16,5198
PI4KB,207.35316,280,6.00121,1.0155608e-08,8530
POLR3K,207.32706,281,24.004217,0.0,370
PRR25,206.62195,282,5.4382353,2.264666e-07,9411
GAB2,205.61722,283,-9.404607,1.3562776e-16,5105
NIPA2,205.05336,284,9.370124,6.592439e-17,5016
HNRNPA3P1,204.33643,285,8.798993,3.459119e-15,5566
VRK1,204.32632,286,6.939454,1.3399562e-10,7486
EIF1AX,203.94583,287,-4.459023,1.9390322e-05,10879
UBE2V2,203.82144,288,9.167945,1.520494e-16,5122
NDUFB6,203.72815,289,9.367521,8.495259e-18,4743
CDC42SE2,203.29169,290,-4.8721967,3.5157432e-06,10273
TCTN1,202.8591,291,6.4454827,1.1349295e-09,7996
TNFSF15,202.64105,292,-0.9850999,0.3265794,17851
IDH3G,201.76044,293,3.2474685,0.001407687,12809
KATNAL1,201.66962,294,-11.177287,2.9295542e-19,4341
TAMM41,201.0175,295,-2.6338174,0.009609726,13983
PPP4R2,200.55429,296,1.929373,0.055963542,15481
CKLF,200.46371,297,11.406662,5.291478e-23,3399
SS18L2,199.66316,298,5.868771,3.9724434e-08,8898
VAX1,198.82724,299,4.5231547,6.9827297e-06,10500
RPS6KA5,198.44852,300,-6.933395,4.140986e-10,7749
EIF4G2,198.19693,301,0.28325438,0.777442,20010
SRP54,196.72409,302,13.022044,4.4103266e-26,2774
LUZP1,195.81448,303,-12.311495,3.0516636e-22,3575
ZMYND11,195.24744,304,-2.8593059,0.004963906,13542
CCDC73,194.97923,305,-7.523742,1.3167947e-11,7006
UBE2G1,194.23125,306,-2.6884894,0.008119451,13869
TMEM127,193.84427,307,5.3848834,2.4057843e-07,9424
PSTPIP2,193.71437,308,-1.3542542,0.17838189,16828
PSMG1,193.5957,309,5.226328,5.357967e-07,9655
FUT5,193.4076,310,1.3174595,0.1896427,16910
CASZ1,192.99338,311,3.8847706,0.00017076594,11794
TTC23L,191.1019,312,2.440163,0.01626153,14425
JDP2,190.41275,313,-8.900954,8.82443e-15,5718
CCDC125,190.06973,314,8.679556,4.1446796e-15,5594
C15orf26,189.86787,315,1.0344682,0.30245042,17697
DAZAP1,189.23721,316,12.602696,2.7443328e-26,2738
SSBP3,188.39473,317,-12.12783,1.3626803e-26,2677
CSDA,187.44528,318,-27.409363,0.0,187
NCBP2,186.79736,319,9.070019,8.3561447e-16,5347
UCP2,186.67184,320,3.8245432,0.00019597141,11868
FAM55A,185.75659,321,-3.2641196,0.0014993784,12852
CSNK1G2,185.304,322,5.703844,7.443728e-08,9057
TYMP,185.27425,323,13.334956,6.3547376e-25,2978
RNF128,184.64337,324,-7.891809,1.6400979e-12,6627
CDK1,184.46036,325,32.085266,0.0,57
POLL,184.14774,326,-5.128162,1.2065143e-06,9887
ANXA6,183.37643,327,-6.2648606,1.003681e-08,8524
HSPB2-C11orf52,182.83311,328,-11.859772,2.6529755e-20,4065
IFT27,182.74438,329,7.3149104,8.89733e-12,6938
SSFA2,182.34366,330,-5.5089755,1.1760399e-07,9203
OCLM,181.65817,331,-1.8662319,0.064722806,15633
LTB4R2,181.63336,332,-3.1454756,0.0021107264,13032
MRPL1,181.50963,333,-4.23624,4.0176143e-05,11176
UBXN10,181.38087,334,1.5749782,0.117667355,16297
EIF2B4,181.06686,335,2.9089153,0.0042612855,13439
NOVA1,180.32805,336,-17.739857,0.0,918
ITGA5,180.2439,337,2.9102921,0.004329259,13454
PSMD7,178.91904,338,2.355977,0.019165363,14560
CNNM3,178.81342,339,1.3549336,0.1777975,16820
HAO2,178.67636,340,-2.3584132,0.020227484,14601
VPS53,178.60573,341,-6.7872233,3.3225117e-10,7698
SS18L1,178.47165,342,2.434153,0.016453177,14434
WDR18,178.28282,343,10.82401,4.004976e-21,3839
STIM1,178.01666,344,-9.675891,7.02524e-18,4709
PSMG2,177.88885,345,-1.7408623,0.083930336,15916
MYO7B,177.59874,346,-9.617178,7.4854784e-16,5331
TMEM191B,177.58997,347,6.355053,4.9924433e-09,8333
MRS2,177.56583,348,4.3204927,2.8968328e-05,11058
CXorf23,176.51938,349,-6.024935,1.8976193e-08,8695
RDBP,176.14087,350,4.7789564,4.091821e-06,10311
CWC15,175.92384,351,-5.1784325,4.936053e-07,9632
DUSP11,175.65013,352,0.80403894,0.42302442,18395
KIAA0146,175.12564,353,1.8376149,0.06789723,15678
SSX1,174.57639,354,4.56505,5.6936433e-06,10419
TOR2A,174.1618,355,17.356451,3.531695e-36,1377
RCL1,174.13994,356,-5.6699343,9.821324e-08,9152
ROBO3,173.60065,357,-30.105774,0.0,95
ATP5F1,173.4047,358,1.3568953,0.17684188,16813
NEAT1,172.86716,359,-6.5897913,7.123659e-10,7866
LASP1,172.11075,360,6.8121777,9.433883e-11,7418
CTF1,171.41292,361,-23.425552,0.0,420
SERPINI1,170.39178,362,-4.684509,4.4924436e-06,10345
YWHAH,169.33963,363,10.667839,4.2111277e-20,4116
TJP1,169.3133,364,-9.642335,3.860213e-16,5256
DCAF10,169.11707,365,10.3896265,1.0536398e-19,4221
HOPX,168.97972,366,9.741617,4.6741723e-17,4973
C6orf89,168.44864,367,-10.382842,1.5201046e-18,4520
ALYREF,168.34427,368,14.01012,8.762768e-35,1499
IMPACT,168.232,369,-3.1263337,0.0022074247,13061
CORO6,167.95981,370,-2.7154193,0.0071573136,13776
TIA1,167.88272,371,-1.5378476,0.12713641,16395
TREM2,167.74124,372,5.6155095,1.7834718e-07,9325
SNX5,167.72002,373,-8.084705,4.1410503e-13,6392
ANAPC5,167.43912,374,0.2596852,0.7955111,20090
C7orf53,167.33353,375,-6.8271155,4.0576337e-10,7747
TMEM229B,166.61487,376,5.1129017,1.2076089e-06,9888
DDX11L2,166.49228,377,-1.7032827,0.09145938,16004
MFSD7,165.6487,378,5.75682,3.6895102e-08,8877
MAML2,165.58104,379,-20.118927,6.57046e-40,1073
TRMT112,165.24545,380,12.939727,3.674701e-28,2408
LAMP3,165.17413,381,7.9717665,3.352769e-13,6362
RNF13,164.4331,382,-7.676058,5.0071535e-12,6813
GPX5,164.21736,383,-3.1904345,0.001864742,12963
IER5L,164.19055,384,12.763738,1.1952868e-23,3240
TCN1,163.8363,385,-6.7169447,7.5592643e-10,7890
MRPL35,163.32924,386,4.8688474,3.0923e-06,10229
CASC5,163.0859,387,25.890886,0.0,264
C1orf146,163.00903,388,-3.0206718,0.0031820664,13283
TMPRSS11D,162.98279,389,1.8363659,0.06812293,15681
C19orf60,162.83011,390,1.9591492,0.052426092,15411
C4orf32,162.82565,391,-4.9270344,2.7730616e-06,10185
PPP2R5D,162.70978,392,2.196667,0.02930989,14915
HSD3B1,162.61896,393,-3.2111423,0.00179712,12947
ERO1L,162.09775,394,7.015155,1.06736564e-10,7435
ATPIF1,160.81445,395,14.461994,8.410403e-31,1986
EXOC3,160.6135,396,-7.5549555,5.697781e-12,6846
ADNP,160.34811,397,7.7968984,9.104407e-13,6537
IMPG1,160.24904,398,0.93377775,0.35246527,18016
TMEM221,160.06464,399,-14.630811,4.213868e-31,1949
